id,designation,designationTamil,department,addressLines,pincode,phone,email,level,district,handles,ccFor,source,verified,notes
tn_cm_cell,"The Special Officer, Chief Minister's Special Cell (Mudhalvarin Mugavari)","சிறப்பு அலுவலர், முதலமைச்சரின் சிறப்புப் பிரிவு (முதல்வரின் முகவரி)",Chief Minister's Office,"Secretariat|Chennai",600009,044-25671764,,state,,generic_petition,generic_petition|civic_grievance|pension_scheme_grievance|police_complaint|wage_complaint,https://www.tn.gov.in/con_cmsc.php,false,"Universal fallback To-address; also CM Helpline 1100 / cmhelpline.tnega.org"
tn_dgp,"The Director General of Police, Tamil Nadu","காவல்துறை தலைமை இயக்குநர், தமிழ்நாடு",Home (Police),"Post Box No. 601|Dr. Radhakrishnan Salai, Mylapore|Chennai",600004,044-28448000,,state,,police_complaint,police_complaint,https://www.tn.gov.in/detail_contact/6946/4,false,"Escalation To-address when local SP/Commissioner inaction; local police station remains first stop"
tn_sic,"The Registrar, Tamil Nadu State Information Commission","பதிவாளர், தமிழ்நாடு மாநில தகவல் ஆணையம்",Public (RTI),"No.2, Theagaraya Salai, Near Aalai Amman Koil|Post Box No. 6405, Teynampet|Chennai",600018,044-24347590,sic@nic.in,state,,rti_second_appeal,rti_request,https://www.tnsic.gov.in/contacts.php,false,"RTI second appeals u/s 19(3); first RTI goes to the PIO of the department concerned"
tn_cra,"The Commissioner of Revenue Administration and Disaster Management","வருவாய் நிர்வாக மற்றும் பேரிடர் மேலாண்மை ஆணையர்",Revenue and Disaster Management,"Ezhilagam, Chepauk|Chennai",600005,044-28410540,com-ra@nic.in,state,,revenue_grievance|disaster_relief,pension_scheme_grievance|revenue_grievance,https://www.cra.tn.gov.in/contact.php,false,"Patta/chitta, revenue records, disaster relief; social security pensions administered via Tahsildars under this line"
tn_labour,"The Commissioner of Labour","தொழிலாளர் ஆணையர்",Labour Welfare and Skill Development,"DMS Compound, Teynampet|Chennai",600006,044-24321438,,state,,wage_complaint,wage_complaint,https://www.tn.gov.in/detail_contact/3698/4,false,"Wage/gratuity/labour disputes; local Assistant/Deputy Commissioner of Labour is the first stop"
tn_cma,"The Commissioner of Municipal Administration","நகராட்சி நிர்வாக ஆணையர்",Municipal Administration and Water Supply,"Ezhilagam Annex, 6th Floor, Kamarajar Salai|Chepauk, Chennai",600005,044-28459000,,state,,civic_grievance,civic_grievance,https://www.tn.gov.in/detail_contact/1853/4,false,"Escalation above the local Municipal Commissioner; Chennai city goes to GCC instead"
tn_shrc,"The Secretary, Tamil Nadu State Human Rights Commission","செயலாளர், தமிழ்நாடு மாநில மனித உரிமை ஆணையம்",Independent Commission,"Thiruvarangam, 143, P.S. Kumarasamy Raja Salai (Greenways Road)|Chennai",600028,044-24951484,shrc@tn.gov.in,state,,human_rights_complaint,police_complaint,https://www.shrc.tn.gov.in/contact.html,false,"Custodial/rights violations by public servants"
tn_dvac,"The Director, Directorate of Vigilance and Anti-Corruption","இயக்குநர், ஊழல் தடுப்பு மற்றும் கண்காணிப்பு இயக்ககம்",Vigilance,"No. 293, M.K.N. Road, Alandur|Chennai",600016,044-22321090,dvac@nic.in,state,,corruption_complaint,,https://www.dvac.tn.gov.in/,false,"Bribery/corruption by public servants; helplines 1064 and 1965"
tn_civil_supplies,"The Commissioner of Civil Supplies and Consumer Protection","உணவுப்பொருள் வழங்கல் மற்றும் நுகர்வோர் பாதுகாப்பு ஆணையர்",Co-operation Food and Consumer Protection,"Ezhilagam, 4th Floor, Chepauk|Chennai",600005,044-28592828,consumer@tn.gov.in,state,,ration_card_complaint|consumer_grievance,ration_card_complaint,https://consumer.tn.gov.in/,false,"Ration/PDS complaints; helplines 1967 and 1800-425-5901"
tn_social_welfare,"The Commissioner of Social Welfare","சமூக நல ஆணையர்",Social Welfare and Women Empowerment,"Lady Willingdon College Campus, Kamarajar Salai|Chennai",600005,044-24351885,cmr.sw@tn.gov.in,state,,pension_scheme_grievance|women_welfare_grievance,,https://www.tnsocialwelfare.tn.gov.in/en/contact-us,false,"KMUT/widow-pension/social-welfare scheme grievances; women helpline 181"
tn_tangedco,"The Chairman cum Managing Director, TANGEDCO","தலைவர் மற்றும் நிர்வாக இயக்குநர், தமிழ்நாடு மின் உற்பத்தி மற்றும் பகிர்மான கழகம்",Energy,"NPKRR Maaligai, 144, Anna Salai|Chennai",600002,,,state,,electricity_complaint,electricity_complaint,https://www.tangedco.gov.in/Headquarters.html,false,"Escalation above the local Section Officer/AE; complaint helpline 1912"
tn_scd,"The State Commissioner for the Differently Abled","மாற்றுத்திறனாளிகள் மாநில ஆணையர்",Welfare of Differently Abled Persons,ADDRESS_TO_VERIFY,,,,state,,disability_welfare_grievance,pension_scheme_grievance,https://www.scd.tn.gov.in/contactus.php,false,"PLACEHOLDER: address not machine-readable from source page; curator must fill from scd.tn.gov.in before use"
