pincode,state,district,district_tamil,taluk,taluk_count,district_ambiguous,post_office,lat,lon
600001,TN,Chennai,சென்னை,Maduravoyal,1,no,Chennai G.P.O.,13.1051,80.2844
600002,TN,Chennai,சென்னை,,0,yes,Anna Road H.O,13.0745,80.2698
600003,TN,Chennai,சென்னை,Aminjikarai,1,no,Park Town H.O,13.0830,80.2788
600004,TN,Chennai,சென்னை,Mylapore,1,no,Mylapore H.O,13.0294,80.2668
600005,TN,Chennai,சென்னை,Mylapore,1,no,Chepauk S.O,13.0672,80.2837
600006,TN,Chennai,சென்னை,Egmore,1,no,Greams Road S.O,13.0599,80.2548
600007,TN,Chennai,சென்னை,Purasawalkam,1,no,Vepery S.O,13.0898,80.2594
600008,TN,Chennai,சென்னை,Egmore,1,no,Egmore Ndso,13.0756,80.2623
600009,TN,Chennai,சென்னை,,0,no,Fort St George S.O,13.0794,80.2856
600010,TN,Chennai,சென்னை,,0,no,Kilpauk S.O,13.0797,80.2371
600011,TN,Chennai,சென்னை,Perambur,1,no,Sembiam S.O,13.1141,80.2289
600012,TN,Chennai,சென்னை,,0,no,Perambur Barracks S.O,13.0977,80.2518
600013,TN,Chennai,சென்னை,,0,no,Rayapuram S.O,13.1123,80.2923
600014,TN,Chennai,சென்னை,Mylapore,1,no,Royapettah S.O,13.0539,80.2544
600015,TN,Chennai,சென்னை,Guindy,2,no,Saidapet S.O (Chennai),13.0454,80.2376
600016,TN,Chennai,சென்னை,Guindy,2,yes,St Thomas Mount Ho,13.0052,80.1616
600017,TN,Chennai,சென்னை,Guindy,2,no,Thygarayanagar H.O,13.0342,80.2395
600018,TN,Chennai,சென்னை,,0,no,Teynampet S.O,13.0394,80.2574
600019,TN,Chennai,சென்னை,Tiruvottiyur,1,yes,Tiruvottiyur So,13.1530,80.2650
600020,TN,Chennai,சென்னை,Guindy,1,no,Shastri Nagar S.O (Chennai),13.0010,80.2573
600021,TN,Chennai,சென்னை,Kolathur,1,no,Washermanpet East S.O,13.1189,80.2852
600022,TN,Chennai,சென்னை,,0,no,Rajbhavan S.O (Chennai),13.0454,80.2376
600023,TN,Chennai,சென்னை,Ayanavaram,2,no,Aynavaram S.O,13.1018,80.2296
600024,TN,Chennai,சென்னை,Mambalam,1,no,Kodambakkam S.O,13.0518,80.2300
600025,TN,Chennai,சென்னை,,0,no,Engineering College S.O (Chennai),13.0454,80.2376
600026,TN,Chennai,சென்னை,,0,no,Vadapalani S.O,13.5056,80.2146
600028,TN,Chennai,சென்னை,,0,no,Raja Annamalaipuram S.O,13.0500,80.4491
600030,TN,Chennai,சென்னை,Aminjikarai,1,no,Shenoy Nagar S.O,13.0801,80.2247
600031,TN,Chennai,சென்னை,,0,no,Chetput S.O,13.0704,80.2425
600032,TN,Chennai,சென்னை,Guindy,1,no,Guindy Industrial Estate S.O,13.0515,80.2116
600033,TN,Chennai,சென்னை,Mambalam,1,no,West Mambalam S.O,13.0351,80.2206
600034,TN,Chennai,சென்னை,,0,no,Loyola College S.O,13.1091,80.3942
600035,TN,Chennai,சென்னை,,0,no,Nandanam S.O,13.0318,80.2407
600036,TN,Chennai,சென்னை,,0,no,Indian Institute Of Technology S.O,12.9936,80.2339
600037,TN,Chennai,சென்னை,Ambattur,2,yes,Mogappair So,13.0848,80.1832
600038,TN,Chennai,சென்னை,,0,no,Icf Colony S.O,13.1004,80.2143
600039,TN,Chennai,சென்னை,,0,no,Vyasarpadi S.O,13.1231,80.2611
600040,TN,Chennai,சென்னை,Aminjikarai,1,no,Anna Nagar S.O (Chennai),13.0846,80.2079
600041,TN,Chennai,சென்னை,Sholinganallur,2,no,Palavakkam S.O (Kanchipuram),12.9608,80.2566
600042,TN,Chennai,சென்னை,Velachery,1,no,Velacheri S.O,12.9826,80.2216
600043,TN,Chengalpattu,செங்கல்பட்டு,Pallavaram,1,no,Rajajinagar So Kanchipuram,12.9520,80.1220
600044,TN,Chengalpattu,செங்கல்பட்டு,Avadi,2,yes,Chromepet So,12.9524,80.1406
600045,TN,Chengalpattu,செங்கல்பட்டு,Tambaram,1,no,Tambaram Ho,12.9279,80.1176
