taluk,taluk_tamil,district,pincode_count
Papanasam,பாபநாசம்,Thanjavur,19
Agastheeswaram,அகஸ்தீஸ்வரம்,Kanniyakumari,16
Coimbatore North,கோவை வடக்கு,Coimbatore,16
Karaikkudi,காரைக்குடி,Sivaganga,16
Kumbakonam,கும்பகோணம்,Thanjavur,16
Tiruchendur,திருச்செந்தூர்,Tuticorin,16
Vellore,வேலூர்,Vellore,16
Sirkali,சீர்காலி,Mayiladuthurai,15
Eral,ஏரல்,Tuticorin,14
Kalkulam,கல்குளம்,Kanniyakumari,14
Ramanathapuram,ராமநாதபுரம்,Ramanathapuram,14
Tharangambadi,தரங்கம்பாடி,Mayiladuthurai,14
Cuddalore,கடலூர்,Cuddalore,13
Lalgudi,லால்குடி,Tiruchirappalli,13
Srirangam,ஸ்ரீரங்கம்,Tiruchirappalli,13
Mayiladuthurai,மயிலாடுதுறை,Mayiladuthurai,12
Nagapattinam,நாகப்பட்டினம்,Nagapattinam,12
Thiruvarur,திருவாரூர்,Thiruvarur,12
Thuraiyur,துறையூர்,Tiruchirappalli,12
Uthamapalayam,உத்தமபாளையம்,Theni,12
Gingee,செஞ்சி,Viluppuram,11
Maduranthakam,மதுராந்தகம்,Chengalpattu,11
Pattukkottai,பட்டுக்கோட்டை,Thanjavur,11
Rasipuram,ராசிபுரம்,Namakkal,11
Thanjavur,தஞ்சாவூர்,Thanjavur,11
Tiruchengode,திருச்செங்கோடு,Namakkal,11
Tirupathur,திருப்பத்தூர்,Tirupathur,11
Udumalaipettai,உடுமலைப்பேட்டை,Tiruppur,11
Dharapuram,தாராபுரம்,Tiruppur,10
Erode,ஈரோடு,Erode,10
Katpadi,காட்பாடி,Vellore,10
Killiyoor,கிள்ளியூர்,Kanniyakumari,10
Mettur,மேட்டூர்,Salem,10
Nanguneri,நாங்குநேரி,Tirunelveli,10
Panruti,பண்ருட்டி,Cuddalore,10
Paramathi-Velur,பரமத்தி-வேலூர்,Namakkal,10
Srivaikuntam,ஸ்ரீவைகுண்டம்,Thoothukkudi,10
Tenkasi,தென்காசி,Tenkasi,10
Thirumayam,திருமயம்,Pudukkottai,10
Thiruppathur,திருப்பத்தூர்,Sivaganga,10
Thiruvidaimarudur,திருவிடைமருதூர்,Thanjavur,10
Tiruvannamalai,திருவண்ணாமலை,Tiruvannamalai,10
Viluppuram,விழுப்புரம்,Viluppuram,10
Annur,அன்னூர்,Coimbatore,9
Ariyalur,அரியலூர்,Ariyalur,9
Aruppukkottai,அருப்புக்கோட்டை,Virudhunagar,9
Krishnagiri,கிருஷ்ணகிரி,Krishnagiri,9
Mannargudi,மன்னார்குடி,Thiruvarur,9
Melur,மேலூர்,Madurai,9
Musiri,முசிறி,Tiruchirappalli,9
Nannilam,நன்னிலம்,Thiruvarur,9
Pollachi,பொள்ளாச்சி,Coimbatore,9
Ponneri,பொன்னேரி,Thiruvallur,9
Radhapuram,ராதாபுரம்,Tirunelveli,9
Sulur,சூலூர்,Coimbatore,9
Thiruvallur,திருவள்ளூர்,Thiruvallur,9
Tiruttani,திருத்தணி,Thiruvallur,9
Tisayanvilai,திசையன்விளை,Tirunelveli,9
Udayarpalayam,உடையார்பாளையம்,Ariyalur,9
Anaicut,அணைக்கட்டு,Vellore,8
Anaimalai,ஆனைமலை,Coimbatore,8
Devakottai,தேவகோட்டை,Sivaganga,8
Gobichettipalayam,கோபிசெட்டிபாளையம்,Erode,8
Kadayanallur,கடையநல்லூர்,Tenkasi,8
Koothanallur,கூத்தாநல்லூர்,Thiruvarur,8
Kuthalam,குத்தாலம்,Mayiladuthurai,8
Nilakkottai,நிலக்கோட்டை,Dindigul,8
Omalur,ஓமலூர்,Salem,8
Palayamkottai,பாளையங்கோட்டை,Tirunelveli,8
Perundurai,பெருந்துறை,Erode,8
Rajapalayam,ராஜபாளையம்,Virudhunagar,8
Thiruverumbur,திருவெறும்பூர்,Tiruchirappalli,8
Vandavasi,வந்தவாசி,Tiruvannamalai,8
Vedaranyam,வேதாரண்யம்,Nagapattinam,8
Vikravandi,விக்கிரவாண்டி,Viluppuram,8
Vilavancode,விளவங்கோடு,Kanniyakumari,8
Virudhachalam,விருத்தாசலம்,Cuddalore,8
Ambur,ஆம்பூர்,Tirupathur,7
Arani,ஆரணி,Tiruvannamalai,7
Chengalpattu,செங்கல்பட்டு,Chengalpattu,7
Chengam,செங்கம்,Tiruvannamalai,7
Cheranmahadevi,சேரன்மஹாதேவி,Tirunelveli,7
Gudiyatham,குடியாத்தம்,Vellore,7
Kangeyam,காங்கேயம்,Tiruppur,7
Kilvelur,கீழ்வேளூர்,Nagapattinam,7
Oddanchatram,ஒட்டன்சத்திரம்,Dindigul,7
Ottapidaram,ஓட்டப்பிடாரம்,Thoothukkudi,7
Palani,பழனி,Dindigul,7
Poonamallee,பூந்தமல்லி,Thiruvallur,7
Salem,சேலம்,Salem,7
Sathankulam,சாத்தான்குளம்,Tuticorin,7
Sholinganallur,சோழிங்கநல்லூர்,Chennai,7
Sivaganga,சிவகங்கை,Sivaganga,7
Tambaram,தாம்பரம்,Chengalpattu,7
Thiruvaiyaru,திருவையாறு,Thanjavur,7
Thoothukkudi,தூத்துக்குடி,Thoothukkudi,7
Tindivanam,திண்டிவனம்,Viluppuram,7
